
Pinging google.com [2404:6800:4002:811::200e] with 32 bytes of data:
Request timed out.
Reply from 2404:6800:4002:811::200e: time=856ms 
Reply from 2404:6800:4002:811::200e: time=90ms 
Reply from 2404:6800:4002:811::200e: time=81ms 
Reply from 2404:6800:4002:811::200e: time=141ms 
Reply from 2404:6800:4002:811::200e: time=805ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=88ms 
Reply from 2404:6800:4002:811::200e: time=87ms 
Reply from 2404:6800:4002:811::200e: time=311ms 
Reply from 2404:6800:4002:811::200e: time=600ms 
Reply from 2404:6800:4002:811::200e: time=79ms 
Reply from 2404:6800:4002:811::200e: time=167ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=132ms 
Reply from 2404:6800:4002:811::200e: time=192ms 
Reply from 2404:6800:4002:811::200e: time=827ms 
Reply from 2404:6800:4002:811::200e: time=76ms 
Reply from 2404:6800:4002:811::200e: time=74ms 
Reply from 2404:6800:4002:811::200e: time=88ms 
Reply from 2404:6800:4002:811::200e: time=277ms 
Reply from 2404:6800:4002:811::200e: time=1083ms 
Reply from 2404:6800:4002:811::200e: time=102ms 
Reply from 2404:6800:4002:811::200e: time=97ms 
Reply from 2404:6800:4002:811::200e: time=143ms 
Reply from 2404:6800:4002:811::200e: time=109ms 
Reply from 2404:6800:4002:811::200e: time=395ms 
Reply from 2404:6800:4002:811::200e: time=116ms 
Reply from 2404:6800:4002:811::200e: time=179ms 
Reply from 2404:6800:4002:811::200e: time=195ms 
Reply from 2404:6800:4002:811::200e: time=164ms 
Reply from 2404:6800:4002:811::200e: time=93ms 
Reply from 2404:6800:4002:811::200e: time=129ms 
Reply from 2404:6800:4002:811::200e: time=226ms 
Reply from 2404:6800:4002:811::200e: time=103ms 
Reply from 2404:6800:4002:811::200e: time=412ms 
Reply from 2404:6800:4002:811::200e: time=77ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=299ms 
Reply from 2404:6800:4002:811::200e: time=92ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=159ms 
Reply from 2404:6800:4002:811::200e: time=790ms 
Reply from 2404:6800:4002:811::200e: time=94ms 
Reply from 2404:6800:4002:811::200e: time=87ms 
Reply from 2404:6800:4002:811::200e: time=317ms 
Reply from 2404:6800:4002:811::200e: time=840ms 
